USC_SECTION,CFR_TITLE,CFR_PART
5124,27,26
5124,27,27
5122,27,28
5123,27,17
5123,27,22
5123,27,70
5131,27,26
5131,27,31
5132,27,26
5132,27,31
5171,27,18
5171,27,19
5173,27,18
5173,27,19
5173,27,24
5175,27,19
5176,27,19
5178,27,19
5181,27,19
5178,27,18
5179,27,18
5179,27,29
5181,27,71
5201,27,19
5204,27,19
5201,27,27
5201,27,28
5203,27,18
5203,27,70
5205,27,27
5205,27,28
5206,27,19
5206,27,31
5207,27,19
5207,27,31
5206,27,17
5206,27,20
5206,27,22
5206,27,24
5207,27,26
5207,27,27
5207,27,28
5207,27,70
5211,27,19
5215,27,19
5214,27,24
5215,27,24
5214,27,20
5214,27,22
5221,27,19
5223,27,19
5222,27,25
5231,27,19
5232,27,19
5232,27,26
5232,27,27
5232,27,28
5235,27,19
5236,27,19
5241,27,19
5243,27,19
5242,27,21
5271,27,20
5271,27,22
5275,27,20
5275,27,22
5271,27,19
5271,27,26
5271,27,71
5273,27,17
5273,27,19
5273,27,27
5273,27,28
5273,27,31
5275,27,26
5275,27,70
5291,27,29
5301,27,5
5301,27,13
5301,27,19
5301,27,26
5301,27,27
5301,27,28
5301,27,31
5311,27,19
5313,27,19
5311,27,20
5311,27,22
5313,27,27
5313,27,28
5314,27,26
5351,27,18
5351,27,24
5352,27,31
5353,27,24
5354,27,24
5354,27,18
5356,27,18
5356,27,24
5357,27,24
5361,27,24
5362,27,24
5362,27,19
5364,27,24
5373,27,24
5367,27,70
5370,27,19
5373,27,19
5381,27,24
5388,27,24
5382,27,27
5391,27,24
5392,27,24
5401,27,25
5403,27,25
5411,27,25
5417,27,25
5415,27,70
5501,27,19
5505,27,19
5504,27,70
5511,27,18
5511,27,24
5551,27,19
5555,27,19
5551,27,24
5551,27,25
5552,27,24
5552,27,25
5552,27,18
5552,27,20
5552,27,22
5555,27,25
5556,27,25
5555,27,20
5555,27,22
5555,27,26
5555,27,27
5555,27,28
5555,27,31
5555,27,70
5559,27,19
5561,27,19
5562,27,19
5601,27,19
5601,27,29
5603,27,31
5607,27,20
5612,27,19
5613,27,31
5615,27,29
5661,27,24
5662,27,24
5671,27,25
5673,27,25
5681,27,31
5682,27,19
5684,27,24
5684,27,25
5684,27,70
5687,27,29
5687,27,31
5688,19,162
5701,27,40
5701,27,41
5701,27,44
5702,27,41
5702,27,44
5702,27,45
5703,27,40
5703,27,41
5703,27,44
5703,27,45
5704,27,40
5704,27,41
5704,27,44
5704,27,45
5705,27,40
5705,27,41
5705,27,44
5705,27,45
5708,27,41
5708,27,46
5711,27,40
5711,27,44
5712,27,40
5712,27,41
5712,27,44
5712,27,71
5713,27,40
5713,27,41
5713,27,44
5713,27,71
5721,27,40
5721,27,41
5721,27,44
5722,27,40
5722,27,41
5722,27,44
5723,27,40
5723,27,41
5723,27,44
5723,27,45
5731,27,40
5731,27,46
5734,27,40
5734,27,46
5731,27,44
5741,27,40
5741,27,41
5741,27,44
5741,27,45
5741,27,70
5751,27,40
5751,27,44
5751,27,45
5751,27,46
5753,26,127
5753,27,40
5754,27,41
5754,27,44
5754,27,46
5761,27,40
5761,27,41
5761,27,46
5761,27,70
5762,27,40
5762,27,41
5762,27,45
5762,27,46
5763,27,40
5763,27,41
5763,27,45
5763,27,46
5802,27,70
6001,26,1
6001,26,31
6001,26,41
6001,26,55
6001,26,156
6001,26,157
6001,27,19
6001,27,26
6001,27,46
6001,27,53
6011,26,1
6011,26,26
6011,26,31
6011,26,40
6011,26,41
6011,26,55
6011,26,156
6011,26,157
6011,26,301
6011,27,25
6011,27,53
6011,27,73
6015,26,1
6020,27,53
6020,27,70
6021,27,53
6021,27,70
6033,26,1
6033,26,301
6035,26,1
6036,26,301
6037,26,301
6038,26,1
6038B,26,1
6038,26,1
6038D,26,1
6039E,22,51
6039E,22,301
6039I,26,1
6041,26,1
6043,26,1
6045,26,1
6045,26,5f
6045A,26,1
6046,26,1
6046A,26,1
6047,26,1
6047,26,35
6049,26,1
6050E,26,1
6050H,26,1
6050I-1,26,1
6050K,26,1
6050M,26,1
6050M,26,301
6050P,26,1
6050S,26,1
6051,26,31
6055,26,1
6056,27,22
6060,26,1
6060,26,20
6060,26,25
6060,26,26
6060,26,31
6060,26,40
6060,26,41
6060,26,44
6060,26,53
6060,26,54
6060,26,55
6060,26,56
6060,26,156
6060,26,157
6061,26,1
6061,26,156
6061,26,157
6061,26,301
6061,27,22
6061,27,25
6061,27,31
6061,27,40
6061,27,44
6061,27,53
6061,27,73
6064,27,70
6065,26,1
6065,27,17
6065,27,18
6065,27,19
6065,27,20
6065,27,22
6065,27,24
6065,27,25
6065,27,31
6065,27,40
6065,27,44
6071,26,31
6071,26,40
6071,26,41
6071,26,55
6071,26,57
6071,26,154
6071,26,156
6071,26,157
6071,27,31
6071,27,53
6081,26,1
6081,26,20
6081,26,25
6081,26,26
6081,26,31
6081,26,53
6081,26,156
6081,26,157
6081,26,301
6081,27,53
6090,26,43
6091,26,40
6091,26,41
6091,26,46
6091,26,55
6091,26,156
6091,26,157
6091,27,17
6091,27,24
6091,27,25
6091,27,31
6091,27,53
6101,27,53
6104,27,53
6101,26,40
6101,26,41
6102,27,70
6103,20,401
6103,20,402
6103,26,1
6103,26,301
6103,26,602
6103,27,31
6104,26,301
6109,26,1
6109,26,20
6109,26,25
6109,26,26
6109,26,27
6109,26,31
6109,26,40
6109,26,41
6109,26,44
6109,26,53
6109,26,54
6109,26,55
6109,26,56
6109,26,150
6109,26,156
6109,26,157
6109,26,301
6109,27,17
6109,27,19
6109,27,22
6109,27,24
6109,27,25
6109,27,31
6109,27,40
6109,27,53
6111,26,301
6112,26,301
6114,26,301
6151,26,41
6151,27,22
6151,27,25
6151,27,40
6151,27,44
6151,27,53
6155,27,53
6155,27,70
6157,26,31
6158,26,301
6159,27,70
6161,26,156
6161,26,157
6161,27,53
6201,27,70
6203,27,70
6204,27,70
6204,22,504
6205,26,31
6223,26,301
6230,26,301
6231,26,301
6232,26,150
6233,26,301
6241,26,301
6245,26,301
6301,27,24
6301,27,25
6301,27,26
6301,27,40
6301,27,41
6301,27,53
6301,27,70
6302,26,1
6302,26,20
6302,26,25
6302,26,31
6302,26,51
6302,26,57
6302,27,19
6302,27,24
6302,27,25
6302,27,26
6302,27,27
6302,27,28
6302,27,40
6302,27,41
6302,27,53
6302,31,203
6302,31,214
6302,31,380
6303,27,53
6303,27,70
6311,26,301
6311,27,19
6311,27,24
6311,27,25
6311,27,40
6311,27,53
6311,27,70
6313,27,25
6313,27,40
6313,27,41
6313,27,45
6313,27,70
6314,27,70
6321,27,70
6323,26,301
6323,27,70
6325,26,401
6325,27,70
6326,26,301
6326,27,70
6331,27,70
6343,27,70
6343,26,301
6364,26,31
6401,27,70
6404,27,70
6402,6,11
6402,10,15
6402,12,1208
6402,26,1
6402,26,301
6402,27,25
6402,27,40
6402,27,41
6402,27,44
6402,27,53
6402,31,285
6404,26,301
6404,27,40
6404,27,41
6404,27,44
6404,27,53
6407,27,70
6411,26,1
6411,26,301
6416,27,53
6416,27,70
6423,27,40
6423,27,70
6426,26,154
6427,26,48
6501,27,70
6503,27,70
6511,27,70
6513,27,70
6514,27,70
6532,27,70
6601,27,46
6601,27,70
6602,27,70
6611,27,70
6621,27,46
6621,27,70
6622,27,46
6622,27,70
6651,27,24
6651,27,25
6651,27,70
6653,27,70
6655,26,1
6656,27,70
6658,27,70
6656,27,25
6662,26,1
6665,27,70
6671,27,70
6672,27,70
6676,27,19
6676,27,24
6676,27,25
6676,27,40
6689,26,301
6695,26,1
6695,26,20
6695,26,22
6695,26,26
6695,26,31
6695,26,40
6695,26,41
6695,26,44
6695,26,53
6695,26,54
6695,26,55
6695,26,56
6695,26,156
6695,26,157
6701,27,70
6708,26,301
6723,27,31
6723,27,70
6724,27,31
6801,27,70
6804,27,26
6806,27,19
6806,27,22
6806,27,25
6806,27,40
6806,27,44
6851,26,1
6862,27,70
6863,27,70
6901,27,70
7011,27,40
7011,27,44
7011,27,70
7101,27,26
7101,27,41
7101,27,70
7101,27,72
7102,27,26
7102,27,70
7121,27,70
7122,27,70
7207,27,70
7209,27,70
7212,27,40
7212,27,41
7212,27,44
7212,27,45
7212,27,46
7213,27,17
7214,5,3101
7214,15,0
7214,27,70
7216,26,301
7302,27,24
7304,27,70
7322,27,72
7326,27,72
7325,27,40
7327,23,773
7342,27,24
7342,27,25
7342,27,40
7342,27,41
7342,27,44
7342,27,45
7342,27,46
7401,27,70
7403,27,70
7406,27,70
7423,27,70
7426,27,70
7429,27,70
7430,27,70
7432,27,70
7502,26,301
7502,27,24
7502,27,40
7502,27,53
7502,27,70
7502,27,73
7503,27,24
7503,27,40
7503,27,70
7505,27,70
7506,27,70
7508,26,301
7510,27,19
7513,27,70
7520,26,1
7520,26,20
7520,26,25
7520,26,301
7601,27,70
7602,27,46
7602,27,70
7603,27,70
7604,27,70
7605,27,70
7606,27,24
7606,27,25
7606,27,40
7606,27,41
7606,27,44
7606,27,45
7606,27,46
7606,27,70
7608,27,70
7609,27,70
7610,27,70
7622,27,70
7623,27,70
7623,19,10
7623,19,301
7624,26,301
7651 et seq,40,76
7651,27,26
7651,27,41
7652,27,17
7652,27,26
7652,27,41
7653,27,70
7654,26,1
7654,26,602
7701,26,1
7701,26,31
7701,26,301
7702,26,1
7804,26,301
7804,26,602
7804 note,26,801
7805,19,1
7805,19,31
7805,19,40
7805,19,41
7805,19,301
7805,19,602
7805,20,606
7805,20,615
7805,26,1
7805,26,2
7805,26,3
7805,26,4
7805,26,5
7805,26,5c
7805,26,5e
7805,26,6a
7805,26,7
7805,26,8
7805,26,9
7805,26,11
7805,26,12
7805,26,13
7805,26,14a
7805,26,15
7805,26,15a
7805,26,16
7805,26,16a
7805,26,18
7805,26,19
7805,26,20
7805,26,22
7805,26,25
7805,26,26
7805,26,27
7805,26,28
7805,26,31
7805,26,32
7805,26,35
7805,26,35a
7805,26,36
7805,26,40
7805,26,41
7805,26,43
7805,26,44
7805,26,45
7805,26,46
7805,26,47
7805,26,48
7805,26,49
7805,26,51
7805,26,52
7805,26,53
7805,26,54
7805,26,55
7805,26,56
7805,26,57
7805,26,141
7805,26,143
7805,26,145
7805,26,148
7805,26,156
7805,26,157
7805,26,301
7805,26,302
7805,26,303
7805,26,305
7805,26,400
7805,26,401
7805,26,403
7805,26,404
7805,26,420
7805,26,502
7805,26,503
7805,26,509
7805,26,514
7805,26,516
7805,26,517
7805,26,601
7805,26,602
7805,26,701
7805,26,702
7805,27,5
7805,27,13
7805,27,17
7805,27,18
7805,27,19
7805,27,20
7805,27,21
7805,27,22
7805,27,24
7805,27,25
7805,27,26
7805,27,27
7805,27,29
7805,27,30
7805,27,31
7805,27,40
7805,27,41
7805,27,44
7805,27,45
7805,27,46
7805,27,53
7805,27,70
7805,27,71
7805,27,72
7805,27,479
7851,27,24
7872,26,1
7874,26,1
9002,11,9002
9003,11,9003
9003,11,9033
9004,11,9004
9005,11,9005
9006,11,9005
9007,11,201
9008,11,201
9008,11,9007
9008,11,9008
9009,11,201
9009,11,9001
9009,11,9002
9009,11,9003
9009,11,9004
9009,11,9005
9009,11,9006
9009,11,9007
9009,11,9008
9012,11,9012
9031,11,9031
9032,11,9032
9033,11,9033
9034,11,9034
9035,11,9035
9036,11,9036
9037,11,9037
9038,11,201
9038,11,9038
9039,11,201
9039,11,9031
9039,11,9032
9039,11,9033
9039,11,9034
9039,11,9035
9039,11,9036
9039,11,9037
9039,11,9038
9039,11,9039
9801,26,54
9833,26,54
